File ID,Hoofdcompetentie,Subcompetentie,Percentage
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Initiatief,27
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Besluitvaardigheid,31
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Flexibiliteit,57
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Stressbestendigheid,63
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Ambitie,37
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Zelfstandigheid,51
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Doorzettingsvermogen,46
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Resultaatgerichtheid,33
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Leerbereidheid,73
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Inzet,30
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Nauwkeurigheid,25
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Organisatiesensitiviteit,50
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Klantoriëntatie,50
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Kwaliteitsgerichtheid,29
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Ondernemerschap,38
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Overtuigingskracht,49
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Aansturen van groepen,36
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Aansturen van individuen,36
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Coachen van medewerkers,52
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Onderhandelen,46
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatie vermogen,Plannen en organiseren,33
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatie vermogen,Delegeren,46
