File ID,Hoofdcompetentie,Subcompetentie,Percentage,Perc_Group
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Initiatief,27,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Besluitvaardigheid,31,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Flexibiliteit,57,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Stressbestendigheid,63,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Ambitie,37,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Zelfstandigheid,51,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Doorzettingsvermogen,46,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Resultaatgerichtheid,33,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Leerbereidheid,73,2
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Inzet,30,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Persoonlijke gerichtheid,Nauwkeurigheid,25,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Organisatiesensitiviteit,50,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Klantoriëntatie,50,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Kwaliteitsgerichtheid,29,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatiegerichtheid,Ondernemerschap,38,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Overtuigingskracht,49,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Aansturen van groepen,36,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Aansturen van individuen,36,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Coachen van medewerkers,52,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Beïnvloedend vermogen,Onderhandelen,46,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatie vermogen,Plannen en organiseren,33,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatie vermogen,Delegeren,46,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Organisatie vermogen,Voortgangscontrole,27,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Sensitiviteit,60,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Samenwerking,43,1
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Optreden,24,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Relatiebeheer,19,0
bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Relationeel vermogen,Sociabiliteit,41,1
