,Group 1,Group 2,Correlation
0,Aansturen van groepen,Aansturen van individuen,0.7180634346193914
1,Aansturen van groepen,Ambitie,0.7657183345580746
2,Aansturen van groepen,Assertiviteit,0.6263185368382165
3,Aansturen van groepen,Besluitvaardigheid,0.464991067590179
4,Aansturen van groepen,Coachen van medewerkers,0.5311635036704933
5,Aansturen van groepen,Delegeren,0.5495319538396404
6,Aansturen van groepen,Doorzettingsvermogen,0.8750911186009143
7,Aansturen van groepen,Flexibiliteit,0.580604615203912
8,Aansturen van groepen,Initiatief,0.7092583143093286
9,Aansturen van groepen,Inzet,0.8390350103142292
10,Aansturen van groepen,Klantoriëntatie,0.7534318688937623
11,Aansturen van groepen,Kwaliteitsgerichtheid,0.6386382184826843
12,Aansturen van groepen,Leerbereidheid,0.5967571948143524
13,Aansturen van groepen,Nauwkeurigheid,0.6381182508436765
14,Aansturen van groepen,Onderhandelen,0.8089464363773622
15,Aansturen van groepen,Ondernemerschap,0.8784910242264842
16,Aansturen van groepen,Optreden,0.7243862594690028
17,Aansturen van groepen,Organisatiesensitiviteit,0.35722585010423
18,Aansturen van groepen,Overtuigingskracht,0.6693483816666798
19,Aansturen van groepen,Plannen en organiseren,0.7724401070655408
20,Aansturen van groepen,Relatiebeheer,0.7991049078337008
21,Aansturen van groepen,Resultaatgerichtheid,0.8106078775113219
22,Aansturen van groepen,Samenwerking,0.5040707045144032
23,Aansturen van groepen,Sensitiviteit,0.4803265044646183
24,Aansturen van groepen,Sociabiliteit,0.738229534650157
25,Aansturen van groepen,Stressbestendigheid,0.7622604158119106
26,Aansturen van groepen,Voortgangscontrole,0.7836398356237725
27,Aansturen van groepen,Zelfstandigheid,0.26143129640577434
28,Aansturen van individuen,Ambitie,0.2983435661128527
29,Aansturen van individuen,Assertiviteit,0.5055934031553448
30,Aansturen van individuen,Besluitvaardigheid,0.34257089875496555
31,Aansturen van individuen,Coachen van medewerkers,0.8153708242485008
32,Aansturen van individuen,Delegeren,0.49619582805626106
33,Aansturen van individuen,Doorzettingsvermogen,0.7400358097357072
34,Aansturen van individuen,Flexibiliteit,0.651065504989762
35,Aansturen van individuen,Initiatief,0.8911852831514336
36,Aansturen van individuen,Inzet,0.7999511914391272
37,Aansturen van individuen,Klantoriëntatie,0.8369905523938178
38,Aansturen van individuen,Kwaliteitsgerichtheid,0.49823527460188943
39,Aansturen van individuen,Leerbereidheid,0.3400509754794266
40,Aansturen van individuen,Nauwkeurigheid,0.4920884514430122
41,Aansturen van individuen,Onderhandelen,0.7872592608101637
42,Aansturen van individuen,Ondernemerschap,0.8617691378151641
43,Aansturen van individuen,Optreden,0.9022902301040203
44,Aansturen van individuen,Organisatiesensitiviteit,0.5930266377368045
