,Group 1,Group 2,Correlation
0,Competitie,Conformisme,0.31801996042868746
1,Competitie,Contactbehoefte,0.23227606887233815
2,Competitie,Dominantie,0.28888445722514605
3,Competitie,Energie,0.5619745399408166
4,Competitie,Frustratietolerantie,0.12392358388932154
5,Competitie,Hartelijkheid,0.35787062932692726
6,Competitie,Incasseringsvermogen,-0.13811320573173214
7,Competitie,Nauwkeurigheid,0.47031115892902475
8,Competitie,Onafhankelijkheid,-0.055695781875392626
9,Competitie,Ordelijkheid,0.5108798459001267
10,Competitie,Originaliteit,-0.005886745308760351
11,Competitie,Positivisme,0.0229523127055085
12,Competitie,Regelmaat,-0.18365960155717515
13,Competitie,Sociaal Ontspannen,0.21441854668493449
14,Competitie,Status,0.6434507818820968
15,Competitie,Variatiebehoefte,0.37906664273656543
16,Competitie,Vertrouwen,-0.21087191102071526
17,Competitie,Volharding,0.18991650111968333
18,Competitie,Weloverwogen,-0.05028515914844044
19,Competitie,Zelfonthulling,0.1325551460140569
20,Competitie,Zelfontwikkeling,0.1897101319574572
21,Competitie,Zelfvertoon,0.5092421118127395
22,Competitie,Zelfvertrouwen,0.1577827163058046
23,Competitie,Zorgzaamheid,-0.015341270031673303
24,Conformisme,Contactbehoefte,0.19869737126789896
25,Conformisme,Dominantie,0.0885407127655132
26,Conformisme,Energie,0.3069334092470598
27,Conformisme,Frustratietolerantie,0.4957587241630425
28,Conformisme,Hartelijkheid,0.48169526513461813
29,Conformisme,Incasseringsvermogen,0.4656146181955774
30,Conformisme,Nauwkeurigheid,0.2661800101423977
31,Conformisme,Onafhankelijkheid,-0.3856946181348328
32,Conformisme,Ordelijkheid,0.1189915498997917
33,Conformisme,Originaliteit,-0.021087121764194482
34,Conformisme,Positivisme,0.6088500668570217
35,Conformisme,Regelmaat,0.12960835276041724
36,Conformisme,Sociaal Ontspannen,0.2839104766121862
37,Conformisme,Status,0.34439779410006705
38,Conformisme,Variatiebehoefte,0.3292531090936294
39,Conformisme,Vertrouwen,0.3699793186960776
40,Conformisme,Volharding,0.4978835095716138
41,Conformisme,Weloverwogen,0.17537676884377246
42,Conformisme,Zelfonthulling,0.279045721247418
43,Conformisme,Zelfontwikkeling,0.37792973600426066
44,Conformisme,Zelfvertoon,0.1450494521619456
45,Conformisme,Zelfvertrouwen,0.39458164007738167
46,Conformisme,Zorgzaamheid,0.5191184376576835
47,Contactbehoefte,Dominantie,0.39802493103140685
48,Contactbehoefte,Energie,0.597977459769066
49,Contactbehoefte,Frustratietolerantie,0.16346123919625935
50,Contactbehoefte,Hartelijkheid,0.7817959766523586
51,Contactbehoefte,Incasseringsvermogen,0.2057675933328686
52,Contactbehoefte,Nauwkeurigheid,0.29015048454348974
53,Contactbehoefte,Onafhankelijkheid,-0.4904314552302954
54,Contactbehoefte,Ordelijkheid,0.44158473915432744
55,Contactbehoefte,Originaliteit,-0.07793695399458438
56,Contactbehoefte,Positivisme,0.23225063820610015
57,Contactbehoefte,Regelmaat,-0.012203178090904295
58,Contactbehoefte,Sociaal Ontspannen,0.7515909766215905
59,Contactbehoefte,Status,0.34022363466964517
60,Contactbehoefte,Variatiebehoefte,0.6609538417816909
61,Contactbehoefte,Vertrouwen,0.3119795667100506
62,Contactbehoefte,Volharding,0.2576670686063124
63,Contactbehoefte,Weloverwogen,0.08939583766566167
64,Contactbehoefte,Zelfonthulling,0.3317282377930258
65,Contactbehoefte,Zelfontwikkeling,0.16921341659962516
66,Contactbehoefte,Zelfvertoon,0.6058151660856477
67,Contactbehoefte,Zelfvertrouwen,0.41430953058056036
68,Contactbehoefte,Zorgzaamheid,0.46380400797310667
69,Dominantie,Energie,0.5660275159480536
70,Dominantie,Frustratietolerantie,0.004676430933132108
71,Dominantie,Hartelijkheid,0.47844685069401355
72,Dominantie,Incasseringsvermogen,0.4656763099563899
73,Dominantie,Nauwkeurigheid,-0.1553457737062165
74,Dominantie,Onafhankelijkheid,0.31829350371490744
75,Dominantie,Ordelijkheid,0.012101820294238487
76,Dominantie,Originaliteit,0.3355023072931742
77,Dominantie,Positivisme,0.28868759641716263
78,Dominantie,Regelmaat,-0.14057905359187975
79,Dominantie,Sociaal Ontspannen,0.42214786422724115
80,Dominantie,Status,0.3570246446487848
81,Dominantie,Variatiebehoefte,0.5379718932056428
82,Dominantie,Vertrouwen,0.0894004410757259
83,Dominantie,Volharding,0.3481102216367922
84,Dominantie,Weloverwogen,-0.1818921857477568
85,Dominantie,Zelfonthulling,0.31108096770074484
86,Dominantie,Zelfontwikkeling,0.04244084508860225
87,Dominantie,Zelfvertoon,0.5534346590967145
88,Dominantie,Zelfvertrouwen,0.5474259070114031
89,Dominantie,Zorgzaamheid,0.306749606446775
90,Energie,Frustratietolerantie,0.34000071996946907
91,Energie,Hartelijkheid,0.7963335168006408
92,Energie,Incasseringsvermogen,0.2931016749457994
93,Energie,Nauwkeurigheid,0.44377399339817664
94,Energie,Onafhankelijkheid,-0.005922142114757285
95,Energie,Ordelijkheid,0.4668688784373625
96,Energie,Originaliteit,0.3431419886199892
97,Energie,Positivisme,0.5502303307557966
98,Energie,Regelmaat,-0.29147652939354374
99,Energie,Sociaal Ontspannen,0.7150025832640045
100,Energie,Status,0.419342491831658
101,Energie,Variatiebehoefte,0.7777396931562867
102,Energie,Vertrouwen,0.32285948880300225
103,Energie,Volharding,0.7018634729092521
104,Energie,Weloverwogen,0.16203056120802656
105,Energie,Zelfonthulling,0.35119793371150776
106,Energie,Zelfontwikkeling,0.5261868186237519
107,Energie,Zelfvertoon,0.45845548905544603
108,Energie,Zelfvertrouwen,0.5907881567703467
109,Energie,Zorgzaamheid,0.3944496840503767
110,Frustratietolerantie,Hartelijkheid,0.5000684410071301
111,Frustratietolerantie,Incasseringsvermogen,0.5433439603795038
112,Frustratietolerantie,Nauwkeurigheid,0.19577285915144182
113,Frustratietolerantie,Onafhankelijkheid,-0.055846714456878985
114,Frustratietolerantie,Ordelijkheid,-0.13363779493210087
