Subkenmerk 1,Subkenmerk 2,Hoofdkenmerk 1,Hoofdkenmerk 2,Analist,Engineer,diff_cor,P_val
Competitie,Frustratietolerantie,Invloed,Stabiliteit,0.2647062562056961,-0.6319880021746503,0.8966942583803464,0.02152142803085577
Competitie,Hartelijkheid,Invloed,Sociabiliteit,0.3005113041957458,-0.5701889063680353,0.8707002105637811,0.02529570951707716
Competitie,Weloverwogen,Invloed,Structuur,0.20699797177276844,-0.6593641977598278,0.8663621695325963,0.025980910336172336
Competitie,Zelfonthulling,Invloed,Sociabiliteit,-0.27459810441807064,0.656511717428988,-0.9311098218470586,0.017312353880934994
Conformisme,Onafhankelijkheid,Structuur,Gedrevenheid,-0.6694354011188038,0.2757717413939298,-0.9452071425127336,0.015817122350604285
Contactbehoefte,Status,Sociabiliteit,Invloed,0.4565855031244517,-0.642529405317179,1.0991149084416305,0.005661251957884472
Dominantie,Hartelijkheid,Invloed,Sociabiliteit,0.4761616206451941,-0.40439801622627053,0.8805596368714645,0.023798765999289317
Dominantie,Incasseringsvermogen,Invloed,Stabiliteit,0.5669827544190846,-0.2567180154051351,0.8237007698242198,0.03366534303863755
Energie,Frustratietolerantie,Gedrevenheid,Stabiliteit,0.6442157937421678,-0.17939312793967982,0.8236089216818476,0.0336838780363109
Frustratietolerantie,Ordelijkheid,Stabiliteit,Structuur,0.46013011415025495,-0.423667870722508,0.883797984872763,0.023324883723784717
Frustratietolerantie,Originaliteit,Stabiliteit,Gedrevenheid,0.480654922451795,-0.2971894103548248,0.7778443328066198,0.04413202561689111
Frustratietolerantie,Variatiebehoefte,Stabiliteit,Gedrevenheid,0.6616160894337836,-0.25687040446902815,0.9184864939028117,0.01875996123232948
Frustratietolerantie,Zelfonthulling,Stabiliteit,Sociabiliteit,0.19589371850964998,-0.7189377235294248,0.9148314420390747,0.019199297228866152
Hartelijkheid,Status,Sociabiliteit,Invloed,0.3371513124441954,-0.5081802050726102,0.8453315175168056,0.029545985621803217
Incasseringsvermogen,Sociaal Ontspannen,Stabiliteit,Sociabiliteit,0.5349571520156633,-0.3390317518104051,0.8739889038260684,0.024787184706696275
Incasseringsvermogen,Zelfvertoon,Stabiliteit,Invloed,0.4272912601629867,-0.6346887395316092,1.061979999694596,0.007301676450873762
Onafhankelijkheid,Positivisme,Gedrevenheid,Stabiliteit,-0.3976081755438888,0.6283380803113868,-1.0259462558552757,0.00931075468129361
Ordelijkheid,Weloverwogen,Structuur,Structuur,0.5495973230552988,-0.24820342526959147,0.7978007483248903,0.03926705204561576
Originaliteit,Weloverwogen,Gedrevenheid,Structuur,0.36193496952018994,-0.5219634282528197,0.8838983977730097,0.023310327522541252
Originaliteit,Zelfonthulling,Gedrevenheid,Sociabiliteit,-0.37734789569057237,0.5016725562413974,-0.8790204519319698,0.024027045552893256
Sociaal Ontspannen,Status,Sociabiliteit,Invloed,0.2791022112369209,-0.5170304325726521,0.796132643809573,0.039654687556482715
Variatiebehoefte,Weloverwogen,Gedrevenheid,Structuur,0.30956311518475416,-0.4739351925314577,0.7834983077162119,0.04270239662310482
Vertrouwen,Weloverwogen,Sociabiliteit,Structuur,-0.3815614752022569,0.41438238359326596,-0.7959438587955229,0.03969877053060733
Weloverwogen,Zelfvertrouwen,Structuur,Stabiliteit,0.3803476985243968,-0.469394297316701,0.8497419958410979,0.02876380538275214
Zelfvertoon,Zorgzaamheid,Invloed,Sociabiliteit,0.3904368641430901,-0.38001269961619605,0.7704495637592861,0.046065400866824646
