,Group 1,Group 2,Correlation
0,Competitie,Conformisme,0.1279726742222479
1,Competitie,Contactbehoefte,0.15811388300841894
2,Competitie,Dominantie,0.4743416490252569
3,Competitie,Energie,0.7156562669645133
4,Competitie,Frustratietolerantie,-0.6319880021746503
5,Competitie,Hartelijkheid,-0.8049434044064967
6,Competitie,Incasseringsvermogen,-0.10660035817780525
7,Competitie,Nauwkeurigheid,0.20604084592303354
8,Competitie,Onafhankelijkheid,0.15398682993655982
9,Competitie,Ordelijkheid,0.5075647261379698
10,Competitie,Originaliteit,4.348402641126072e-18
11,Competitie,Positivisme,-0.3086066999241838
12,Competitie,Regelmaat,-0.6708203932499368
13,Competitie,Sociaal Ontspannen,0.36563621206356534
14,Competitie,Status,0.5375786693015946
15,Competitie,Variatiebehoefte,0.7120689949163119
16,Competitie,Vertrouwen,-0.02295441332773383
17,Competitie,Volharding,-0.3803194146278324
18,Competitie,Weloverwogen,-0.6593641977598277
19,Competitie,Zelfonthulling,0.4648348401006841
20,Competitie,Zelfontwikkeling,-0.25594534844449573
21,Competitie,Zelfvertoon,0.6799112396040882
22,Competitie,Zelfvertrouwen,0.5874312401283579
23,Competitie,Zorgzaamheid,-0.15969004586013613
24,Conformisme,Contactbehoefte,0.034401045807689073
25,Conformisme,Dominantie,0.18469078399962488
26,Conformisme,Energie,0.5361424254900898
27,Conformisme,Frustratietolerantie,-0.018601633295108045
28,Conformisme,Hartelijkheid,0.500567859353936
29,Conformisme,Incasseringsvermogen,0.39444674582777023
30,Conformisme,Nauwkeurigheid,-0.09302605094190634
31,Conformisme,Onafhankelijkheid,0.2757717413939298
32,Conformisme,Ordelijkheid,0.23871592765805774
33,Conformisme,Originaliteit,-0.052768795428464264
34,Conformisme,Positivisme,0.5965587590013043
35,Conformisme,Regelmaat,-0.04428074427700476
36,Conformisme,Sociaal Ontspannen,0.35007002100700235
37,Conformisme,Status,2.792162316953862e-18
38,Conformisme,Variatiebehoefte,0.4967618146249605
39,Conformisme,Vertrouwen,0.07575540190785708
40,Conformisme,Volharding,0.5983211225424633
41,Conformisme,Weloverwogen,0.5031152949374528
42,Conformisme,Zelfonthulling,0.48941945791177116
43,Conformisme,Zelfontwikkeling,0.7100469468046932
44,Conformisme,Zelfvertoon,0.03656362120635655
45,Conformisme,Zelfvertrouwen,0.6734899961837034
46,Conformisme,Zorgzaamheid,0.4622975667767221
47,Contactbehoefte,Dominantie,-0.40000000000000013
48,Contactbehoefte,Energie,0.38746595996276906
49,Contactbehoefte,Frustratietolerantie,0.024217973984824125
50,Contactbehoefte,Hartelijkheid,0.3872983346207418
51,Contactbehoefte,Incasseringsvermogen,-0.18257418583505536
52,Contactbehoefte,Nauwkeurigheid,0.8432740427115679
53,Contactbehoefte,Onafhankelijkheid,-0.629858167745255
54,Contactbehoefte,Ordelijkheid,0.6761234037828133
55,Contactbehoefte,Originaliteit,0.3
56,Contactbehoefte,Positivisme,-0.05163977794943221
57,Contactbehoefte,Regelmaat,-0.2752409412815902
58,Contactbehoefte,Sociaal Ontspannen,0.8541985556144386
59,Contactbehoefte,Status,-0.6425294053171791
60,Contactbehoefte,Variatiebehoefte,0.8227533512074425
61,Contactbehoefte,Vertrouwen,0.6551856932831538
62,Contactbehoefte,Volharding,0.4276179870598791
63,Contactbehoefte,Weloverwogen,0.1546720562224365
64,Contactbehoefte,Zelfonthulling,0.10063092108532551
65,Contactbehoefte,Zelfontwikkeling,0.2504897164340599
66,Contactbehoefte,Zelfvertoon,0.6135719910778963
67,Contactbehoefte,Zelfvertrouwen,0.223606797749979
68,Contactbehoefte,Zorgzaamheid,0.34355900058832095
69,Dominantie,Energie,0.8393561695387263
70,Dominantie,Frustratietolerantie,-0.0674199862463242
71,Dominantie,Hartelijkheid,-0.4043980162262705
72,Dominantie,Incasseringsvermogen,-0.2567180154051351
73,Dominantie,Nauwkeurigheid,-0.5459058939351292
74,Dominantie,Onafhankelijkheid,0.7442084075352507
75,Dominantie,Ordelijkheid,0.040352608268825606
76,Dominantie,Originaliteit,0.4411287732562847
77,Dominantie,Positivisme,0.3127716210856122
78,Dominantie,Regelmaat,-0.4855303805588614
79,Dominantie,Sociaal Ontspannen,0.3500700210070024
80,Dominantie,Status,0.3942380465465581
81,Dominantie,Variatiebehoefte,0.49713229916775376
82,Dominantie,Vertrouwen,0.08837756003033137
83,Dominantie,Volharding,0.7075275528876867
84,Dominantie,Weloverwogen,0.21213203435596428
85,Dominantie,Zelfonthulling,0.3207134902949093
86,Dominantie,Zelfontwikkeling,0.4322628957852667
87,Dominantie,Zelfvertoon,0.3850770231077027
88,Dominantie,Zelfvertrouwen,0.48307916260016476
89,Dominantie,Zorgzaamheid,0.30779350562554625
90,Energie,Frustratietolerantie,-0.1793931279396798
91,Energie,Hartelijkheid,-0.21802571240017923
92,Energie,Incasseringsvermogen,0.0346770991073533
93,Energie,Nauwkeurigheid,0.37397879600338285
94,Energie,Onafhankelijkheid,0.5469555253359801
95,Energie,Ordelijkheid,0.22484434916365828
96,Energie,Originaliteit,0.36559549849420114
97,Energie,Positivisme,0.2059714602177749
98,Energie,Regelmaat,-0.37639939600492045
99,Energie,Sociaal Ontspannen,0.5713725901821546
100,Energie,Status,0.26848441188145167
101,Energie,Variatiebehoefte,0.8382294209046202
102,Energie,Vertrouwen,0.47602429246212297
103,Energie,Volharding,0.7567874686642695
104,Energie,Weloverwogen,0.344984180082279
105,Energie,Zelfonthulling,0.7740871499169921
106,Energie,Zelfontwikkeling,0.34840950140928845
107,Energie,Zelfvertoon,0.14173667737846019
108,Energie,Zelfvertrouwen,0.717789998840606
109,Energie,Zorgzaamheid,0.07700856286565191
110,Frustratietolerantie,Hartelijkheid,0.6886367591802657
111,Frustratietolerantie,Incasseringsvermogen,0.17354436625492498
112,Frustratietolerantie,Nauwkeurigheid,-0.3719554513316322
113,Frustratietolerantie,Onafhankelijkheid,0.5816629361764956
114,Frustratietolerantie,Ordelijkheid,-0.4236678707225079
115,Frustratietolerantie,Originaliteit,0.12392039927415242
116,Frustratietolerantie,Positivisme,0.9784388878936985
117,Frustratietolerantie,Regelmaat,0.4066124552864796
118,Frustratietolerantie,Sociaal Ontspannen,0.30996520993903337
119,Frustratietolerantie,Status,-0.4365641250653994
120,Frustratietolerantie,Variatiebehoefte,0.08362420100070904
121,Frustratietolerantie,Vertrouwen,0.4012623552762412
122,Frustratietolerantie,Volharding,0.5585812268712466
123,Frustratietolerantie,Weloverwogen,0.5244044240850758
124,Frustratietolerantie,Zelfonthulling,-0.5225437283634242
125,Frustratietolerantie,Zelfontwikkeling,0.6445308549751203
126,Frustratietolerantie,Zelfvertoon,0.11562432251572007
127,Frustratietolerantie,Zelfvertrouwen,0.4020151261036848
128,Frustratietolerantie,Zorgzaamheid,-0.21773176328462984
129,Hartelijkheid,Incasseringsvermogen,0.4453769815984038
130,Hartelijkheid,Nauwkeurigheid,0.07595545253127504
131,Hartelijkheid,Onafhankelijkheid,0.04313060176114062
132,Hartelijkheid,Ordelijkheid,-0.1861322992281687
133,Hartelijkheid,Originaliteit,0.17734043940858907
134,Hartelijkheid,Positivisme,0.7154879991467901
135,Hartelijkheid,Regelmaat,0.5543218625245872
136,Hartelijkheid,Sociaal Ontspannen,-1.6691790579082566e-18
137,Hartelijkheid,Status,-0.7299830575229901
138,Hartelijkheid,Variatiebehoefte,0.41137667560372115
139,Hartelijkheid,Vertrouwen,0.5370529629872759
140,Hartelijkheid,Volharding,-7.401782527046551e-17
141,Hartelijkheid,Weloverwogen,0.5067999381796515
142,Hartelijkheid,Zelfonthulling,-0.661097844280429
143,Hartelijkheid,Zelfontwikkeling,0.6219979686119742
144,Hartelijkheid,Zelfvertoon,-0.06248754756816557
145,Hartelijkheid,Zelfvertrouwen,0.06469590264171092
146,Hartelijkheid,Zorgzaamheid,0.3318007581655987
147,Incasseringsvermogen,Nauwkeurigheid,0.3446345979947012
148,Incasseringsvermogen,Onafhankelijkheid,0.31362502409359
149,Incasseringsvermogen,Ordelijkheid,0.2783882181415011
150,Incasseringsvermogen,Originaliteit,-0.3267320196065356
151,Incasseringsvermogen,Positivisme,0.31622776601683794
152,Incasseringsvermogen,Regelmaat,0.5063160398440778
153,Incasseringsvermogen,Sociaal Ontspannen,0.04082482904638634
154,Incasseringsvermogen,Status,0.37799657871945797
155,Incasseringsvermogen,Variatiebehoefte,-0.1075828707279838
156,Incasseringsvermogen,Vertrouwen,-0.011043152607484674
157,Incasseringsvermogen,Volharding,0.38490017945975047
158,Incasseringsvermogen,Weloverwogen,0.41740484439415815
159,Incasseringsvermogen,Zelfonthulling,0.23934940065356408
160,Incasseringsvermogen,Zelfontwikkeling,0.1462614271203831
161,Incasseringsvermogen,Zelfvertoon,-0.14924050144892734
162,Incasseringsvermogen,Zelfvertrouwen,0.2526423805198364
163,Incasseringsvermogen,Zorgzaamheid,-0.49324382782170784
164,Nauwkeurigheid,Onafhankelijkheid,-0.5234545671218748
165,Nauwkeurigheid,Ordelijkheid,0.5255768421716766
166,Nauwkeurigheid,Originaliteit,0.19826289642953607
167,Nauwkeurigheid,Positivisme,-0.12104550653376046
168,Nauwkeurigheid,Regelmaat,-0.06142951168339509
169,Nauwkeurigheid,Sociaal Ontspannen,0.3910769444375215
170,Nauwkeurigheid,Status,-0.4472135954999579
171,Nauwkeurigheid,Variatiebehoefte,0.6537204504606136
172,Nauwkeurigheid,Vertrouwen,0.20933048341828037
173,Nauwkeurigheid,Volharding,0.29649972666444047
174,Nauwkeurigheid,Weloverwogen,0.149071198499986
175,Nauwkeurigheid,Zelfonthulling,0.11623834450924565
176,Nauwkeurigheid,Zelfontwikkeling,0.053630290017518005
177,Nauwkeurigheid,Zelfvertoon,0.2665186418611078
178,Nauwkeurigheid,Zelfvertrouwen,0.2751976610012249
179,Nauwkeurigheid,Zorgzaamheid,0.08053147186490381
180,Onafhankelijkheid,Ordelijkheid,-0.3916422209712112
181,Onafhankelijkheid,Originaliteit,0.3183930844410177
182,Onafhankelijkheid,Positivisme,0.7524872845451025
183,Onafhankelijkheid,Regelmaat,0.05264497328966637
184,Onafhankelijkheid,Sociaal Ontspannen,-0.7178569686580889
185,Onafhankelijkheid,Status,0.40470239395552676
186,Onafhankelijkheid,Variatiebehoefte,-0.20244408254472898
187,Onafhankelijkheid,Vertrouwen,-0.42426406871192845
188,Onafhankelijkheid,Volharding,0.6618225213558054
