Correlation,Subcompetentie 1,Subcompetentie 2,Hoofdcompetentie 1,Hoofdcompetentie 2,Richting
0.4421479059274279,Aansturen van groepen,Aansturen van individuen,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.9012692644234895,Aansturen van groepen,Ambitie,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.9857097706579624,Aansturen van groepen,Assertiviteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.9748527979403301,Aansturen van groepen,Besluitvaardigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
-0.24417276197314206,Aansturen van groepen,Coachen van medewerkers,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.12647045985368707,Aansturen van groepen,Delegeren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
-0.012444705017786153,Aansturen van groepen,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.23417023768550146,Aansturen van groepen,Flexibiliteit,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.6859943405700354,Aansturen van groepen,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.4113766756037211,Aansturen van groepen,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.04476054217430282,Aansturen van groepen,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.7858393686428452,Aansturen van groepen,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
-0.6724224443157147,Aansturen van groepen,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.709322168775352,Aansturen van groepen,Nauwkeurigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.7644707871564381,Aansturen van groepen,Onderhandelen,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.7981531498451738,Aansturen van groepen,Ondernemerschap,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.5885470851397973,Aansturen van groepen,Optreden,Beïnvloedend vermogen,Relationeel vermogen,Scientist
-0.25901759616877307,Aansturen van groepen,Organisatiesensitiviteit,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.7887605593008458,Aansturen van groepen,Overtuigingskracht,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.5427204202399746,Aansturen van groepen,Plannen en organiseren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.861117723395629,Aansturen van groepen,Relatiebeheer,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.7636281482082784,Aansturen van groepen,Resultaatgerichtheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.3154063474270818,Aansturen van groepen,Samenwerking,Beïnvloedend vermogen,Relationeel vermogen,Scientist
-0.2273859509361703,Aansturen van groepen,Sensitiviteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.2508726030021271,Aansturen van groepen,Sociabiliteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
-0.13483997249264842,Aansturen van groepen,Stressbestendigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.5034229516278185,Aansturen van groepen,Voortgangscontrole,Beïnvloedend vermogen,Organisatie vermogen,Scientist
-0.9022014683340845,Aansturen van groepen,Zelfstandigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.23276620356338848,Aansturen van individuen,Ambitie,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.2849221350646039,Aansturen van individuen,Assertiviteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.6156734597737581,Aansturen van individuen,Besluitvaardigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.7336514083233283,Aansturen van individuen,Coachen van medewerkers,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.9340485441733313,Aansturen van individuen,Delegeren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.8316776101977115,Aansturen van individuen,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.41631898054309474,Aansturen van individuen,Flexibiliteit,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.8256798387163494,Aansturen van individuen,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.9498665306979878,Aansturen van individuen,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.8304797677513593,Aansturen van individuen,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.7491136575142227,Aansturen van individuen,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.12352490979633943,Aansturen van individuen,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
