Correlation,Subkenmerk 1,Subkenmerk 2,Hoofdkenmerk 1,Hoofdkenmerk 2,Richting
-0.22360679774997894,Competitie,Conformisme,Invloed,Structuur,Scientist
0.38138503569823684,Competitie,Contactbehoefte,Invloed,Sociabiliteit,Scientist
0.1906925178491185,Competitie,Dominantie,Invloed,Invloed,Scientist
0.38138503569823684,Competitie,Energie,Invloed,Gedrevenheid,Scientist
0.3813850356982369,Competitie,Frustratietolerantie,Invloed,Stabiliteit,Scientist
0.3,Competitie,Hartelijkheid,Invloed,Sociabiliteit,Scientist
-0.7302967433402214,Competitie,Incasseringsvermogen,Invloed,Stabiliteit,Scientist
0.7483314773547882,Competitie,Nauwkeurigheid,Invloed,Structuur,Scientist
-0.9534625892455924,Competitie,Onafhankelijkheid,Invloed,Gedrevenheid,Scientist
0.38138503569823684,Competitie,Ordelijkheid,Invloed,Structuur,Scientist
-0.7627700713964739,Competitie,Originaliteit,Invloed,Gedrevenheid,Scientist
-0.3162277660168379,Competitie,Positivisme,Invloed,Stabiliteit,Scientist
-0.10690449676496973,Competitie,Regelmaat,Invloed,Structuur,Scientist
0.6135719910778964,Competitie,Sociaal Ontspannen,Invloed,Sociabiliteit,Scientist
0.9782685448251888,Competitie,Status,Invloed,Invloed,Scientist
1.8983174180131694e-17,Competitie,Variatiebehoefte,Invloed,Gedrevenheid,Scientist
-0.427617987059879,Competitie,Vertrouwen,Invloed,Sociabiliteit,Scientist
-0.9534625892455922,Competitie,Volharding,Invloed,Gedrevenheid,Scientist
-0.43528575006600695,Competitie,Weloverwogen,Invloed,Structuur,Scientist
-0.42257712736425834,Competitie,Zelfonthulling,Invloed,Sociabiliteit,Scientist
-0.7627700713964739,Competitie,Zelfontwikkeling,Invloed,Gedrevenheid,Scientist
0.427617987059879,Competitie,Zelfvertoon,Invloed,Invloed,Scientist
0.6708203932499369,Competitie,Zelfvertrouwen,Invloed,Stabiliteit,Scientist
-0.8432740427115679,Competitie,Zorgzaamheid,Invloed,Sociabiliteit,Scientist
0.42640143271122083,Conformisme,Contactbehoefte,Structuur,Sociabiliteit,Scientist
0.8528028654224417,Conformisme,Dominantie,Structuur,Invloed,Scientist
0.42640143271122083,Conformisme,Energie,Structuur,Gedrevenheid,Scientist
-0.8528028654224417,Conformisme,Frustratietolerantie,Structuur,Stabiliteit,Scientist
0.6708203932499369,Conformisme,Hartelijkheid,Structuur,Sociabiliteit,Scientist
0.8164965809277259,Conformisme,Incasseringsvermogen,Structuur,Stabiliteit,Scientist
0.47809144373375745,Conformisme,Nauwkeurigheid,Structuur,Structuur,Scientist
2.205879270136296e-17,Conformisme,Onafhankelijkheid,Structuur,Gedrevenheid,Scientist
0.42640143271122083,Conformisme,Ordelijkheid,Structuur,Structuur,Scientist
2.205879270136296e-17,Conformisme,Originaliteit,Structuur,Gedrevenheid,Scientist
0.7071067811865475,Conformisme,Positivisme,Structuur,Stabiliteit,Scientist
0.9561828874675149,Conformisme,Regelmaat,Structuur,Structuur,Scientist
0.17149858514250882,Conformisme,Sociaal Ontspannen,Structuur,Sociabiliteit,Scientist
-0.2734343708098652,Conformisme,Status,Structuur,Invloed,Scientist
0.3682298471593293,Conformisme,Variatiebehoefte,Structuur,Gedrevenheid,Scientist
0.4780914437337574,Conformisme,Vertrouwen,Structuur,Sociabiliteit,Scientist
0.42640143271122083,Conformisme,Volharding,Structuur,Gedrevenheid,Scientist
-3.950046100127249e-18,Conformisme,Weloverwogen,Structuur,Structuur,Scientist
0.944911182523068,Conformisme,Zelfonthulling,Structuur,Sociabiliteit,Scientist
2.205879270136296e-17,Conformisme,Zelfontwikkeling,Structuur,Gedrevenheid,Scientist
