Correlation,Subcompetentie 1,Subcompetentie 2,Hoofdcompetentie 1,Hoofdcompetentie 2
0.566749356655601,Aansturen van groepen,Aansturen van individuen,Beïnvloedend vermogen,Beïnvloedend vermogen
0.7180557610125384,Aansturen van groepen,Ambitie,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.5979695573863751,Aansturen van groepen,Assertiviteit,Beïnvloedend vermogen,Relationeel vermogen
0.43993516862268967,Aansturen van groepen,Besluitvaardigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.27970268133657394,Aansturen van groepen,Coachen van medewerkers,Beïnvloedend vermogen,Beïnvloedend vermogen
0.39750533788428943,Aansturen van groepen,Delegeren,Beïnvloedend vermogen,Organisatie vermogen
0.761716795871753,Aansturen van groepen,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.3319732431553305,Aansturen van groepen,Flexibiliteit,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.5954998869335826,Aansturen van groepen,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7158480480045454,Aansturen van groepen,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.46779340286734544,Aansturen van groepen,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid
0.412423140305874,Aansturen van groepen,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid
0.29057089755659965,Aansturen van groepen,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.4276814554157783,Aansturen van groepen,Nauwkeurigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
0.7586103245929553,Aansturen van groepen,Onderhandelen,Beïnvloedend vermogen,Beïnvloedend vermogen
0.7915006538760658,Aansturen van groepen,Ondernemerschap,Beïnvloedend vermogen,Organisatiegerichtheid
0.6639524032503086,Aansturen van groepen,Optreden,Beïnvloedend vermogen,Relationeel vermogen
0.1652942714185153,Aansturen van groepen,Organisatiesensitiviteit,Beïnvloedend vermogen,Organisatiegerichtheid
0.5852585810193967,Aansturen van groepen,Overtuigingskracht,Beïnvloedend vermogen,Beïnvloedend vermogen
0.6234987878508523,Aansturen van groepen,Plannen en organiseren,Beïnvloedend vermogen,Organisatie vermogen
0.6442902602428573,Aansturen van groepen,Relatiebeheer,Beïnvloedend vermogen,Relationeel vermogen
0.7391256441732214,Aansturen van groepen,Resultaatgerichtheid,Beïnvloedend vermogen,Persoonlijke gerichtheid
