,Group 1,Group 2,before,without outliers,diff_cor,P_val
0,Aansturen van groepen,Aansturen van individuen,0.566749356655601,0.6138738898158903,-0.047124533160289306,0.8321534537696769
1,Aansturen van groepen,Ambitie,0.7180557610125384,0.6969818838887765,0.021073877123761964,0.9244729735295838
2,Aansturen van groepen,Assertiviteit,0.5979695573863751,0.662716589673863,-0.0647470322874879,0.7709582079875403
3,Aansturen van groepen,Besluitvaardigheid,0.43993516862268967,0.4900856137044541,-0.050150445081764417,0.8215586601265545
4,Aansturen van groepen,Coachen van medewerkers,0.27970268133657394,0.27109037888223597,0.008612302454337972,0.9690942161246192
5,Aansturen van groepen,Delegeren,0.39750533788428943,0.49095906602698103,-0.0934537281426916,0.6745248513301658
6,Aansturen van groepen,Doorzettingsvermogen,0.761716795871753,0.7661059827676023,-0.0043891868958493285,0.9842460989423829
7,Aansturen van groepen,Flexibiliteit,0.3319732431553305,0.39436276126015923,-0.062389518104828734,0.779068861035733
8,Aansturen van groepen,Initiatief,0.5954998869335826,0.6445874685399049,-0.04908758160632232,0.82527638147576
9,Aansturen van groepen,Inzet,0.7158480480045454,0.7268382681022754,-0.010990220097729986,0.9605673502325982
10,Aansturen van groepen,Klantoriëntatie,0.46779340286734544,0.6118660223251394,-0.14407261945779398,0.5180235324521942
11,Aansturen van groepen,Kwaliteitsgerichtheid,0.412423140305874,0.5592435673136004,-0.14682042700772635,0.5101173638773169
12,Aansturen van groepen,Leerbereidheid,0.29057089755659965,0.3394631711982538,-0.04889227364165416,0.8259599822737931
13,Aansturen van groepen,Nauwkeurigheid,0.4276814554157783,0.49849140395525043,-0.07080994853947215,0.7502208523191087
14,Aansturen van groepen,Onderhandelen,0.7586103245929553,0.7215826680136979,0.03702765657925744,0.8677250941330059
15,Aansturen van groepen,Ondernemerschap,0.7915006538760658,0.8021714681063867,-0.010670814230320902,0.9617124430037511
16,Aansturen van groepen,Optreden,0.6639524032503086,0.7086378744069438,-0.04468547115663524,0.8407166972496118
17,Aansturen van groepen,Organisatiesensitiviteit,0.1652942714185153,0.23703557852492968,-0.07174130710641438,0.7470513844127336
18,Aansturen van groepen,Overtuigingskracht,0.5852585810193967,0.5853685929161982,-0.0001100118968015984,0.9996051128585783
19,Aansturen van groepen,Plannen en organiseren,0.6234987878508523,0.6967637208785884,-0.07326493302773607,0.7418759868955394
20,Aansturen van groepen,Relatiebeheer,0.6442902602428573,0.7611510550179509,-0.11686079477509359,0.5997281766593139
21,Aansturen van groepen,Resultaatgerichtheid,0.7391256441732214,0.7097361107327482,0.029389533440473126,0.8948248119892757
22,Aansturen van groepen,Samenwerking,0.3218165268736122,0.3884607458251066,-0.06664421895149442,0.7644500288078473
23,Aansturen van groepen,Sensitiviteit,0.21377668046556947,0.2890217019217032,-0.07524502145613371,0.7351682054485309
24,Aansturen van groepen,Sociabiliteit,0.4679248390232954,0.6084858882444886,-0.14056104922119317,0.5282222993921089
25,Aansturen van groepen,Stressbestendigheid,0.5439505426438439,0.504733157078733,0.039217385565110896,0.8599842361693368
26,Aansturen van groepen,Voortgangscontrole,0.7054356551621831,0.7831298738414817,-0.0776942186792986,0.7269002540381044
27,Aansturen van groepen,Zelfstandigheid,0.2972355096611522,0.23068241473597972,0.06655309492517247,0.7647622334695725
28,Aansturen van individuen,Ambitie,0.42604740809101904,0.414993933016658,0.011053475074361052,0.9603405865860697
29,Aansturen van individuen,Assertiviteit,0.41262305287947915,0.327478203482323,0.08514484939715616,0.7019546153421157
30,Aansturen van individuen,Besluitvaardigheid,0.32489557436628774,0.3494413381094011,-0.024545763743113347,0.9120787527862781
31,Aansturen van individuen,Coachen van medewerkers,0.7967952111823647,0.8091554848103946,-0.012360273628029828,0.9556565999215068
