,Group 1,Group 2,Analist,Engineer,diff_cor,P_val
0,Aansturen van groepen,Aansturen van individuen,0.7180634346193914,0.07285057743780396,0.6452128571815874,0.09198597780205287
1,Aansturen van groepen,Ambitie,0.7657183345580746,0.4955639512416117,0.2701543833164629,0.47279620194033
2,Aansturen van groepen,Assertiviteit,0.6263185368382165,0.5422131592849857,0.08410537755323078,0.8225341635902199
3,Aansturen van groepen,Besluitvaardigheid,0.464991067590179,0.5371776590615164,-0.07218659147133738,0.8473337229720181
4,Aansturen van groepen,Coachen van medewerkers,0.5311635036704933,-0.26028588725719076,0.7914493909276841,0.040761171196387114
5,Aansturen van groepen,Delegeren,0.5495319538396404,0.3666425493393294,0.182889404500311,0.6262306063977534
6,Aansturen van groepen,Doorzettingsvermogen,0.8750911186009143,0.4241995952730561,0.45089152332785815,0.23396828894716637
7,Aansturen van groepen,Flexibiliteit,0.580604615203912,0.17604477960137124,0.40455983560254083,0.2845864550081241
8,Aansturen van groepen,Initiatief,0.7092583143093286,0.17397524912036144,0.5352830651889672,0.1594260385452213
9,Aansturen van groepen,Inzet,0.8390350103142292,0.3337144044246022,0.505320605889627,0.18340530415407108
10,Aansturen van groepen,Klantoriëntatie,0.7534318688937623,-0.37638361737671255,1.1298154862704748,0.004573952819710403
11,Aansturen van groepen,Kwaliteitsgerichtheid,0.6386382184826843,0.37458226698811703,0.2640559514945673,0.4827727926544574
12,Aansturen van groepen,Leerbereidheid,0.5967571948143524,-0.2786563847874606,0.875413579601813,0.02456977407323513
13,Aansturen van groepen,Nauwkeurigheid,0.6381182508436765,0.3866779811115839,0.25144026973209255,0.5037854429150439
14,Aansturen van groepen,Onderhandelen,0.8089464363773622,0.40463762309818707,0.4043088132791751,0.28488036485048185
15,Aansturen van groepen,Ondernemerschap,0.8784910242264842,0.39641983728557745,0.4820711869409067,0.20386549054446368
16,Aansturen van groepen,Optreden,0.7243862594690028,0.35810500415882324,0.3662812553101796,0.33189615989707755
17,Aansturen van groepen,Organisatiesensitiviteit,0.35722585010423,0.14256000470214214,0.21466584540208788,0.5678092909514318
18,Aansturen van groepen,Overtuigingskracht,0.6693483816666798,0.289339374142565,0.38000900752411476,0.3143509990743214
19,Aansturen van groepen,Plannen en organiseren,0.7724401070655408,0.7263028988191038,0.04613720824643697,0.9020533072031027
20,Aansturen van groepen,Relatiebeheer,0.7991049078337008,-0.03708380483887973,0.8361887126725805,0.031228548775107612
21,Aansturen van groepen,Resultaatgerichtheid,0.8106078775113219,0.40672068194008076,0.40388719557124114,0.28537449903807866
22,Aansturen van groepen,Samenwerking,0.5040707045144032,0.15945200968195397,0.3446186948324492,0.3609034471358119
23,Aansturen van groepen,Sensitiviteit,0.4803265044646183,-0.38977036699748013,0.8700968714620985,0.025390019992370227
24,Aansturen van groepen,Sociabiliteit,0.738229534650157,-0.3401499245193702,1.0783794591695273,0.006528745543694203
25,Aansturen van groepen,Stressbestendigheid,0.7622604158119106,0.09427051800243001,0.6679898978094806,0.08152073134582483
26,Aansturen van groepen,Voortgangscontrole,0.7836398356237725,0.7339367298143139,0.04970310580945858,0.8945276670057329
27,Aansturen van groepen,Zelfstandigheid,0.26143129640577434,0.6241331874711316,-0.3627018910653572,0.3365775835255107
28,Aansturen van individuen,Ambitie,0.2983435661128527,0.5964372485900193,-0.29809368247716667,0.42863526305808786
29,Aansturen van individuen,Assertiviteit,0.5055934031553448,0.43198205356373703,0.07361134959160781,0.8443603532256687
30,Aansturen van individuen,Besluitvaardigheid,0.34257089875496555,0.5816241356162168,-0.2390532368612513,0.5248986261679298
31,Aansturen van individuen,Coachen van medewerkers,0.8153708242485008,0.7343506691774404,0.08102015507106042,0.8289369796355155
32,Aansturen van individuen,Delegeren,0.49619582805626106,0.7114806525606544,-0.21528482450439335,0.5666988043311245
33,Aansturen van individuen,Doorzettingsvermogen,0.7400358097357072,0.7878896645173749,-0.047853854781667704,0.8984292222132197
34,Aansturen van individuen,Flexibiliteit,0.651065504989762,0.7463499109953097,-0.09528440600554766,0.7994404485038067
35,Aansturen van individuen,Initiatief,0.8911852831514336,0.6066172390417912,0.2845680441096424,0.44969396036472187
36,Aansturen van individuen,Inzet,0.7999511914391272,0.8619470661832744,-0.06199587474414725,0.8686646876258632
37,Aansturen van individuen,Klantoriëntatie,0.8369905523938178,0.8119796225911883,0.025010929802629533,0.946804373462037
38,Aansturen van individuen,Kwaliteitsgerichtheid,0.49823527460188943,-0.4429573510187346,0.941192625620624,0.0162303752398556
39,Aansturen van individuen,Leerbereidheid,0.3400509754794266,0.6640358075086298,-0.3239848320292032,0.39003345280299184
40,Aansturen van individuen,Nauwkeurigheid,0.4920884514430122,-0.4169837430391997,0.909072194482212,0.019910641584039324
41,Aansturen van individuen,Onderhandelen,0.7872592608101637,0.7914558944451274,-0.004196633634963698,0.9910674761825831
42,Aansturen van individuen,Ondernemerschap,0.8617691378151641,0.5806418593274981,0.28112727848766594,0.4551473285430556
43,Aansturen van individuen,Optreden,0.9022902301040203,0.4723433046609841,0.4299469254430362,0.2559627978735566
44,Aansturen van individuen,Organisatiesensitiviteit,0.5930266377368045,0.7151703268251364,-0.12214368908833184,0.7447347236153394
45,Aansturen van individuen,Overtuigingskracht,0.8857883868742301,0.5959231677187665,0.2898652191554636,0.44137439423514824
46,Aansturen van individuen,Plannen en organiseren,0.7503789193591179,0.1450760339904036,0.6053028853687143,0.11303431195625402
47,Aansturen van individuen,Relatiebeheer,0.8231764165893724,0.34152018757540487,0.4816562290139675,0.20424584045702
48,Aansturen van individuen,Resultaatgerichtheid,0.6485804583759954,0.6214999281015902,0.027080530274405268,0.9424102380213637
49,Aansturen van individuen,Samenwerking,0.5879383680679112,0.3942745114772004,0.19366385659071084,0.6061187038841032
50,Aansturen van individuen,Sensitiviteit,0.6995171677489317,0.6652499587278038,0.0342672090211279,0.927166723341545
51,Aansturen van individuen,Sociabiliteit,0.8297383163176468,0.8317301222312073,-0.001991805913560518,0.9957603745967467
52,Aansturen van individuen,Stressbestendigheid,0.8431364028775408,0.6577701859533064,0.18536621692423438,0.6215807688393289
53,Aansturen van individuen,Voortgangscontrole,0.7135061819048787,0.44464043117839513,0.26886575072648355,0.4748943840306121
54,Aansturen van individuen,Zelfstandigheid,0.10871588254658769,0.6151787439633749,-0.5064628614167872,0.18244255099753204
55,Ambitie,Assertiviteit,0.07700979105026426,0.4090030066728863,-0.3319932156226221,0.37855436512022234
56,Ambitie,Besluitvaardigheid,-0.06821524039673692,0.5035157955697327,-0.5717310359664696,0.13367538332190954
57,Ambitie,Coachen van medewerkers,0.3187786207079192,0.23390063989259996,0.08487798081531922,0.8209326790089313
58,Ambitie,Delegeren,0.4256673922626333,0.5729035752419137,-0.14723618297928043,0.6948091951232889
59,Ambitie,Doorzettingsvermogen,0.8219075677355128,0.41595618237375104,0.40595138536176173,0.2829610442057173
60,Ambitie,Flexibiliteit,0.4805548979679419,0.5109117763629291,-0.030356878394987186,0.9354577569172375
61,Ambitie,Initiatief,0.4066554814381523,0.519667570217617,-0.11301208877946473,0.7631990598025733
62,Ambitie,Inzet,0.7783748583592338,0.40084908435688044,0.3775257740023534,0.3174767050119611
63,Ambitie,Klantoriëntatie,0.6072333237450623,-0.1457033781035394,0.7529367018486017,0.05094384875564906
64,Ambitie,Kwaliteitsgerichtheid,0.3358192944676645,-0.31943169131576293,0.6552509857834274,0.08724228500456244
65,Ambitie,Leerbereidheid,0.8432410613634502,0.3745347873831836,0.46870627398026665,0.21638834636612558
66,Ambitie,Nauwkeurigheid,0.19811600710138055,-0.33729577451055515,0.5354117816119357,0.159328636447579
67,Ambitie,Onderhandelen,0.6159049140245441,0.5942719044061867,0.021633009618357346,0.9539798774083064
68,Ambitie,Ondernemerschap,0.7215839080399781,0.786110442253429,-0.06452653421345089,0.8633575862894245
69,Ambitie,Optreden,0.4526950431881844,0.7614103684317931,-0.30871532524360873,0.4125254398833702
70,Ambitie,Organisatiesensitiviteit,0.4269023371894771,0.2532831694601217,0.17361916772935543,0.6437710214277044
71,Ambitie,Overtuigingskracht,0.252137908673769,0.7467402774375766,-0.49460236876380764,0.19263158056683882
72,Ambitie,Plannen en organiseren,0.6472609316557513,0.14479384370715112,0.5024670879486002,0.18582757520600102
73,Ambitie,Relatiebeheer,0.5966196079514856,0.19606802924680886,0.4005515787046767,0.2893051672108944
74,Ambitie,Resultaatgerichtheid,0.909419857021714,0.878674051993309,0.03074580502840507,0.9346327766705507
75,Ambitie,Samenwerking,0.3976613717926877,-0.30494071920898896,0.7026020910016766,0.06755845849819919
76,Ambitie,Sensitiviteit,0.46339023616590025,-0.0428012239938652,0.5061914601597655,0.1826709470350103
77,Ambitie,Sociabiliteit,0.5032299473614636,-0.1048791932533261,0.6081091406147897,0.11143458046964905
78,Ambitie,Stressbestendigheid,0.6465340088825482,-0.13477493677749727,0.7813089456600455,0.04325106158170189
79,Ambitie,Voortgangscontrole,0.6151708982750652,0.19367789229764976,0.42149300597741546,0.2652533998474125
80,Ambitie,Zelfstandigheid,-0.2998458880109653,0.3870611159293505,-0.6869070039403158,0.07361300035969154
81,Assertiviteit,Besluitvaardigheid,0.7781157573933698,0.8817307714842992,-0.10361501409092944,0.7823481474129412
82,Assertiviteit,Coachen van medewerkers,0.15708532941616205,-0.20523655569004967,0.3623218851062117,0.33707718362415795
83,Assertiviteit,Delegeren,0.02298365274006479,0.6331089578813693,-0.6101253051413046,0.11029680446216439
84,Assertiviteit,Doorzettingsvermogen,0.40186268459593466,0.46083321146646233,-0.05897052687052767,0.8750173116438711
85,Assertiviteit,Flexibiliteit,0.28003854939682304,-0.14805889015467438,0.4280974395514974,0.25797488575632066
86,Assertiviteit,Initiatief,0.4990512563562783,0.23957705560439319,0.2594742007518851,0.49034616045761314
87,Assertiviteit,Inzet,0.36247778849319257,0.42690114544797375,-0.06442335695478119,0.8635738374309445
88,Assertiviteit,Klantoriëntatie,0.39285325975427315,-0.19091267345159008,0.5837659332058632,0.12595003150692818
89,Assertiviteit,Kwaliteitsgerichtheid,0.09155227025671679,-0.19128292461501628,0.2828351948717331,0.4524355533458362
90,Assertiviteit,Leerbereidheid,-0.18919291549675274,0.622491015517596,-0.8116839310143488,0.0361691201582357
91,Assertiviteit,Nauwkeurigheid,0.27410754812537846,-0.1103873915478999,0.38449493967327836,0.3087581890370308
92,Assertiviteit,Onderhandelen,0.7422336984841156,0.6440353181099522,0.0981983803741634,0.7934498093595379
93,Assertiviteit,Ondernemerschap,0.6270365816617766,0.5435560221109892,0.08348055955078737,0.8238298781102724
94,Assertiviteit,Optreden,0.5786676935548214,0.8323031705662749,-0.2536354770114535,0.500093208505541
95,Assertiviteit,Organisatiesensitiviteit,-0.29225328598185407,-0.4219307570797097,0.1296774710978556,0.7296152054099827
96,Assertiviteit,Overtuigingskracht,0.780750534388867,0.7671129944235141,0.013637539965352885,0.9709785861829474
97,Assertiviteit,Plannen en organiseren,0.432094832376457,0.3554514494746666,0.0766433829017904,0.8380404720401256
98,Assertiviteit,Relatiebeheer,0.3116327049243573,0.3890062476305831,-0.07737354270622582,0.8365201607163395
99,Assertiviteit,Resultaatgerichtheid,0.3178322138567585,0.42925293878199466,-0.11142072492523614,0.7664316407805702
100,Assertiviteit,Samenwerking,-0.11610905642738303,-0.4069319230681345,0.2908228666407515,0.43988023107031027
101,Assertiviteit,Sensitiviteit,-0.03384019218221707,-0.38250672778605954,0.3486665356038425,0.3553603720283278
102,Assertiviteit,Sociabiliteit,0.3575022202911916,-0.3930476152851998,0.7505498355763914,0.0516425901022497
103,Assertiviteit,Stressbestendigheid,0.3085685986394798,0.6492020448544078,-0.340633446214928,0.36641586583785823
104,Assertiviteit,Voortgangscontrole,0.5260204777035267,0.22334678847427863,0.30267368922924803,0.4216423627453989
105,Assertiviteit,Zelfstandigheid,0.8776237972829524,0.9050200094435161,-0.02739621216056376,0.941740145812525
106,Besluitvaardigheid,Coachen van medewerkers,0.19235485606441463,-0.07009246881347804,0.2624473248778927,0.48542417381209635
107,Besluitvaardigheid,Delegeren,0.09061612466810516,0.6937643340521771,-0.6031482093840719,0.11427539271774667
108,Besluitvaardigheid,Doorzettingsvermogen,0.232156514340632,0.23785620705478847,-0.005699692714156462,0.987868442424972
109,Besluitvaardigheid,Flexibiliteit,0.24946683044097565,-0.17322796263924664,0.4226947930802223,0.26391806402184304
110,Besluitvaardigheid,Initiatief,0.5476138638365283,0.19045269073526175,0.3571611731012666,0.343911339826781
111,Besluitvaardigheid,Inzet,0.22400088223482945,0.18490581424421865,0.0390950679906108,0.9169417499505506
112,Besluitvaardigheid,Klantoriëntatie,0.19260710101171577,-0.19474131008944104,0.3873484111011568,0.3052366050802029
113,Besluitvaardigheid,Kwaliteitsgerichtheid,-0.08912254179655582,-0.24112861950711842,0.1520060777105626,0.6854651797349844
