Correlation,Subcompetentie 1,Subcompetentie 2,Hoofdcompetentie 1,Hoofdcompetentie 2,Richting
0.9012692644234895,Aansturen van groepen,Ambitie,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.9857097706579624,Aansturen van groepen,Assertiviteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.9748527979403301,Aansturen van groepen,Besluitvaardigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.6859943405700354,Aansturen van groepen,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.7858393686428452,Aansturen van groepen,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
-0.6724224443157147,Aansturen van groepen,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.709322168775352,Aansturen van groepen,Nauwkeurigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.7644707871564381,Aansturen van groepen,Onderhandelen,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.7981531498451738,Aansturen van groepen,Ondernemerschap,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.7887605593008458,Aansturen van groepen,Overtuigingskracht,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.861117723395629,Aansturen van groepen,Relatiebeheer,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.7636281482082784,Aansturen van groepen,Resultaatgerichtheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
-0.9022014683340845,Aansturen van groepen,Zelfstandigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.6156734597737581,Aansturen van individuen,Besluitvaardigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.7336514083233283,Aansturen van individuen,Coachen van medewerkers,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.9340485441733313,Aansturen van individuen,Delegeren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.8316776101977115,Aansturen van individuen,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.8256798387163494,Aansturen van individuen,Initiatief,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.9498665306979878,Aansturen van individuen,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.8304797677513593,Aansturen van individuen,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.7491136575142227,Aansturen van individuen,Kwaliteitsgerichtheid,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.8631590309138869,Aansturen van individuen,Nauwkeurigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.872147085875772,Aansturen van individuen,Onderhandelen,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.6811625036933063,Aansturen van individuen,Ondernemerschap,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.9359833897727258,Aansturen van individuen,Optreden,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.7501164607530706,Aansturen van individuen,Organisatiesensitiviteit,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.8403186083997428,Aansturen van individuen,Overtuigingskracht,Beïnvloedend vermogen,Beïnvloedend vermogen,Scientist
0.9624182913638032,Aansturen van individuen,Plannen en organiseren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.6888056633313273,Aansturen van individuen,Relatiebeheer,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.5970822014408088,Aansturen van individuen,Resultaatgerichtheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.9766857014100706,Aansturen van individuen,Samenwerking,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.7172765660536918,Aansturen van individuen,Sensitiviteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.9068280933191064,Aansturen van individuen,Sociabiliteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.6558113262023013,Aansturen van individuen,Stressbestendigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.9975213284008676,Aansturen van individuen,Voortgangscontrole,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.9227406649488823,Ambitie,Assertiviteit,Persoonlijke gerichtheid,Relationeel vermogen,Scientist
0.8740135192074711,Ambitie,Besluitvaardigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.681581972858642,Ambitie,Initiatief,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.6757122115026212,Ambitie,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen,Scientist
0.8392663992967587,Ambitie,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid,Scientist
0.7187164032253007,Ambitie,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen,Scientist
0.859534967461016,Ambitie,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen,Scientist
0.8609994096414971,Ambitie,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
-0.9574394434295409,Ambitie,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.9269975336792636,Assertiviteit,Besluitvaardigheid,Relationeel vermogen,Persoonlijke gerichtheid,Scientist
0.6957153448398938,Assertiviteit,Kwaliteitsgerichtheid,Relationeel vermogen,Organisatiegerichtheid,Scientist
-0.736984982733591,Assertiviteit,Leerbereidheid,Relationeel vermogen,Persoonlijke gerichtheid,Scientist
0.5932024682590833,Assertiviteit,Nauwkeurigheid,Relationeel vermogen,Persoonlijke gerichtheid,Scientist
0.6554100587947072,Assertiviteit,Onderhandelen,Relationeel vermogen,Beïnvloedend vermogen,Scientist
0.7291585314479444,Assertiviteit,Ondernemerschap,Relationeel vermogen,Organisatiegerichtheid,Scientist
0.6875998974794781,Assertiviteit,Overtuigingskracht,Relationeel vermogen,Beïnvloedend vermogen,Scientist
0.7941480435645363,Assertiviteit,Relatiebeheer,Relationeel vermogen,Relationeel vermogen,Scientist
0.7088570031687471,Assertiviteit,Resultaatgerichtheid,Relationeel vermogen,Persoonlijke gerichtheid,Scientist
-0.8749907716303705,Assertiviteit,Zelfstandigheid,Relationeel vermogen,Persoonlijke gerichtheid,Scientist
0.8258579395576253,Besluitvaardigheid,Initiatief,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.603963408463372,Besluitvaardigheid,Inzet,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.8218610457111123,Besluitvaardigheid,Kwaliteitsgerichtheid,Persoonlijke gerichtheid,Organisatiegerichtheid,Scientist
0.787862216603902,Besluitvaardigheid,Nauwkeurigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.8889084589699631,Besluitvaardigheid,Onderhandelen,Persoonlijke gerichtheid,Beïnvloedend vermogen,Scientist
0.8942639100140941,Besluitvaardigheid,Ondernemerschap,Persoonlijke gerichtheid,Organisatiegerichtheid,Scientist
0.7538696837433236,Besluitvaardigheid,Optreden,Persoonlijke gerichtheid,Relationeel vermogen,Scientist
0.9055056536574592,Besluitvaardigheid,Overtuigingskracht,Persoonlijke gerichtheid,Beïnvloedend vermogen,Scientist
0.715204057386827,Besluitvaardigheid,Plannen en organiseren,Persoonlijke gerichtheid,Organisatie vermogen,Scientist
0.9421591470361205,Besluitvaardigheid,Relatiebeheer,Persoonlijke gerichtheid,Relationeel vermogen,Scientist
0.8532354751961044,Besluitvaardigheid,Resultaatgerichtheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.6695388379963749,Besluitvaardigheid,Voortgangscontrole,Persoonlijke gerichtheid,Organisatie vermogen,Scientist
-0.9369795298936091,Besluitvaardigheid,Zelfstandigheid,Persoonlijke gerichtheid,Persoonlijke gerichtheid,Scientist
0.926860396735937,Coachen van medewerkers,Delegeren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.9666578817301053,Coachen van medewerkers,Doorzettingsvermogen,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.7794685577654814,Coachen van medewerkers,Inzet,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.94134105774719,Coachen van medewerkers,Klantoriëntatie,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.74459728615775,Coachen van medewerkers,Leerbereidheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.6350214428351695,Coachen van medewerkers,Optreden,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.9825360502517502,Coachen van medewerkers,Organisatiesensitiviteit,Beïnvloedend vermogen,Organisatiegerichtheid,Scientist
0.6815524529081074,Coachen van medewerkers,Plannen en organiseren,Beïnvloedend vermogen,Organisatie vermogen,Scientist
0.8406955525354203,Coachen van medewerkers,Samenwerking,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.9947895420803855,Coachen van medewerkers,Sensitiviteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.866081790182368,Coachen van medewerkers,Sociabiliteit,Beïnvloedend vermogen,Relationeel vermogen,Scientist
0.6374134511131854,Coachen van medewerkers,Stressbestendigheid,Beïnvloedend vermogen,Persoonlijke gerichtheid,Scientist
0.6903887667108495,Coachen van medewerkers,Voortgangscontrole,Beïnvloedend vermogen,Organisatie vermogen,Scientist
