,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
4,24e2d531-6fab-5f5b-9282-a488302c6547,Aansturen van groepen,Aansturen van individuen,0.77427337021328,0.719657261836405,-0.05461610837687503,0.024180721457058248,0.048361442914116495
5,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Aansturen van groepen,Aansturen van individuen,0.6521152280681192,0.719657261836405,0.06754203376828583,0.024180721457058248,0.048361442914116495
26,a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Aansturen van groepen,Ambitie,0.7973094370248236,0.721595709223176,-0.07571372780164765,0.025931958023544713,0.051863916047089426
48,230154a9-def4-5404-a86e-ec8626ee4c95,Aansturen van groepen,Ambitie,0.6676401234338711,0.721595709223176,0.053955585789304816,0.025931958023544713,0.051863916047089426
53,eb695653-6a34-557a-aa9b-90a16a666a9b,Aansturen van groepen,Assertiviteit,0.6177673911224953,0.5353675462337627,-0.08239984488873264,0.03575987733598129,0.07151975467196257
54,24e2d531-6fab-5f5b-9282-a488302c6547,Aansturen van groepen,Assertiviteit,0.6173114000203884,0.5353675462337627,-0.08194385378662572,0.03575987733598129,0.07151975467196257
55,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Aansturen van groepen,Assertiviteit,0.4293153034357011,0.5353675462337627,0.10605224279806158,0.03575987733598129,0.07151975467196257
78,eb695653-6a34-557a-aa9b-90a16a666a9b,Aansturen van groepen,Besluitvaardigheid,0.464991067590179,0.3241374638217315,-0.14085360376844752,0.04571086189197908,0.09142172378395816
103,eb695653-6a34-557a-aa9b-90a16a666a9b,Aansturen van groepen,Coachen van medewerkers,0.44376965246941596,0.5067351388557386,0.06296548638632266,0.029478758108716935,0.05895751621743387
107,6d5cecd8-e3c3-524b-88b3-ed62a8d52f88,Aansturen van groepen,Coachen van medewerkers,0.5860331231030095,0.5067351388557386,-0.07929798424727086,0.029478758108716935,0.05895751621743387
141,61369f33-c11d-5d29-80ed-d751b8246cd1,Aansturen van groepen,Delegeren,0.5495319538396404,0.4850748252068867,-0.06445712863275366,0.02663663604118188,0.05327327208236376
151,a5bc65f4-cbe4-5303-9ac4-0a97089e3ec2,Aansturen van groepen,Doorzettingsvermogen,0.8750911186009143,0.8354910767044001,-0.039600041896514115,0.013601885550287554,0.02720377110057511
182,6d5cecd8-e3c3-524b-88b3-ed62a8d52f88,Aansturen van groepen,Flexibiliteit,0.580604615203912,0.4539048180927177,-0.12669979711119433,0.03674626224760566,0.07349252449521132
207,6d5cecd8-e3c3-524b-88b3-ed62a8d52f88,Aansturen van groepen,Initiatief,0.7462619801113998,0.6908869852978853,-0.05537499481351449,0.019982054254826954,0.03996410850965391
208,283ab77f-98df-5946-aacd-c3bf20cc1bc4,Aansturen van groepen,Initiatief,0.6496555844921221,0.6908869852978853,0.04123140080576315,0.019982054254826954,0.03996410850965391
232,6d5cecd8-e3c3-524b-88b3-ed62a8d52f88,Aansturen van groepen,Inzet,0.8390350103142294,0.7934992399812835,-0.04553577033294598,0.015885554259329145,0.03177110851865829
257,6d5cecd8-e3c3-524b-88b3-ed62a8d52f88,Aansturen van groepen,Klantoriëntatie,0.7534318688937626,0.6659755687107334,-0.08745630018302919,0.024628095749835335,0.04925619149967067
