,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
0,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Aansturen van individuen,0.0728505774378039,0.3029021706018337,0.23005159316402982,0.11030210989155076,0.22060421978310152
10,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Ambitie,0.4955639512416116,0.7441583887627758,0.24859443752116422,0.08799956589038581,0.17599913178077162
22,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Assertiviteit,0.5422131592849859,0.6931781930305705,0.15096503374558456,0.07024125950810377,0.14048251901620754
32,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Besluitvaardigheid,0.5371776590615163,0.6816532108001349,0.1444755517386186,0.05957613192396133,0.11915226384792266
40,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Coachen van medewerkers,-0.2602858872571907,0.06922366872166147,0.3295095559788522,0.1430317606590752,0.2860635213181504
50,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Delegeren,0.36664254933932944,0.5891537685316875,0.2225112191923581,0.1065160653876876,0.2130321307753752
60,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Doorzettingsvermogen,0.42419959527305606,0.6760179007748008,0.2518183055017448,0.0983188874277618,0.1966377748555236
80,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Initiatief,0.17397524912036147,0.4196682718957517,0.2456930227753902,0.12166114375830077,0.24332228751660154
90,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Inzet,0.3337144044246021,0.5840699417645107,0.25035553733990856,0.10558292560835476,0.21116585121670953
100,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Klantoriëntatie,-0.3763836173767126,0.024047729137694627,0.40043134651440726,0.16765159896690912,0.33530319793381824
112,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Kwaliteitsgerichtheid,0.374582266988117,-0.1099773630050708,-0.4845596299931878,0.18607906870373,0.37215813740746
120,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Leerbereidheid,-0.27865638478746063,0.24744529826116712,0.5261016830486278,0.2311497953609012,0.4622995907218024
132,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Nauwkeurigheid,0.38667798111158386,-0.06421641908264698,-0.4508944001942308,0.17533448309637,0.35066896619274
140,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Onderhandelen,0.4046376230981871,0.6754864195360133,0.27084879643782617,0.10369946657094835,0.2073989331418967
150,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Ondernemerschap,0.3964198372855775,0.6543403952919302,0.2579205580063527,0.09924841533326571,0.19849683066653143
160,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Optreden,0.35810500415882335,0.5862304191107197,0.22812541495189637,0.10133513201303619,0.20267026402607238
172,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Organisatiesensitiviteit,0.14256000470214217,-0.1579175214120441,-0.30047752611418627,0.12410966868193933,0.24821933736387866
180,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Overtuigingskracht,0.28933937414256505,0.5703613200457667,0.2810219459032016,0.12678929059285166,0.2535785811857033
192,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Plannen en organiseren,0.7263028988191038,0.21789396922247242,-0.5084089295966314,0.20430021422439537,0.40860042844879074
200,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Relatiebeheer,-0.03708380483887969,0.26736579482288747,0.30444959966176716,0.1270560954041218,0.2541121908082436
210,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Resultaatgerichtheid,0.4067206819400807,0.6799913929079074,0.27327071096782674,0.1011013992810191,0.2022027985620382
222,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Samenwerking,0.15945200968195397,-0.12296953520193556,-0.28242154488388954,0.13143537483950302,0.26287074967900603
230,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Sensitiviteit,-0.38977036699748024,-0.09781066405449076,0.29195970294298945,0.14509356396820072,0.29018712793640145
240,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Sociabiliteit,-0.34014992451937026,0.06787414554283791,0.4080240700622082,0.16490098098696704,0.3298019619739341
250,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Aansturen van groepen,Stressbestendigheid,0.09427051800243003,0.37639811819537766,0.28212760019294764,0.10188730642998119,0.20377461285996237
262,228c72c7-39f3-5090-883c-8e71882f4963,Aansturen van groepen,Voortgangscontrole,0.7339367298143139,0.4447046836344684,-0.2892320461798455,0.13818785865864652,0.27637571731729305
