,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
14,709c252c-5841-547c-bc0d-099fa1d0052b,Competitie,Conformisme,0.09429321394090104,0.03673342959626049,-0.05755978434464055,0.028750756629704437,0.057501513259408873
17,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Conformisme,0.15172026418132817,0.03673342959626049,-0.11498683458506767,0.028750756629704437,0.057501513259408873
23,d73cd100-0c15-518b-874f-03a8811ebd04,Competitie,Conformisme,0.10558892157777923,0.03673342959626049,-0.06885549198151875,0.028750756629704437,0.057501513259408873
51,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Contactbehoefte,0.14413418188370258,0.07469833502272412,-0.06943584686097846,0.02426361332504131,0.04852722665008262
65,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Competitie,Contactbehoefte,0.1472760239097675,0.07469833502272412,-0.07257768888704337,0.02426361332504131,0.04852722665008262
90,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Competitie,Dominantie,0.09255916534451743,0.16214960394614378,0.06959043860162635,0.026916960827114495,0.05383392165422899
105,d73cd100-0c15-518b-874f-03a8811ebd04,Competitie,Dominantie,0.26604725396893675,0.16214960394614378,-0.10389765002279297,0.026916960827114495,0.05383392165422899
106,7080eb17-4d6c-516c-9cb2-70c2cfb220e8,Competitie,Dominantie,0.23095158219603268,0.16214960394614378,-0.0688019782498889,0.026916960827114495,0.05383392165422899
140,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Energie,0.5028115699389148,0.4100674603280058,-0.09274410961090906,0.023829995246824703,0.047659990493649405
149,0b987c95-d61b-5d7f-925c-9c894e0937ce,Competitie,Energie,0.46553164610458503,0.4100674603280058,-0.055464185776579245,0.023829995246824703,0.047659990493649405
178,709c252c-5841-547c-bc0d-099fa1d0052b,Competitie,Frustratietolerantie,-0.05545537109894553,-0.11777083023253666,-0.062315459133591135,0.02729650291055452,0.05459300582110904
181,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Frustratietolerantie,-0.04568933888859728,-0.11777083023253666,-0.07208149134393937,0.02729650291055452,0.05459300582110904
194,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Frustratietolerantie,-0.04568933888859729,-0.11777083023253666,-0.07208149134393937,0.02729650291055452,0.05459300582110904
215,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Hartelijkheid,0.17482934202864042,0.11898239074910538,-0.05584695127953504,0.027792626937297314,0.05558525387459463
222,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Hartelijkheid,0.20432606362649597,0.11898239074910538,-0.08534367287739059,0.027792626937297314,0.05558525387459463
235,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Hartelijkheid,0.1748293420286404,0.11898239074910538,-0.05584695127953501,0.027792626937297314,0.05558525387459463
254,376aa464-a5f7-5aed-acd9-7dceb37ded9d,Competitie,Incasseringsvermogen,-0.2535749717467091,-0.14826372359026638,0.10531124815644274,0.030556859797647332,0.061113719595294665
269,d73cd100-0c15-518b-874f-03a8811ebd04,Competitie,Incasseringsvermogen,-0.03496400368693269,-0.14826372359026638,-0.11329971990333368,0.030556859797647332,0.061113719595294665
297,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Nauwkeurigheid,0.4703111589290247,0.32965257398395664,-0.14065858494506805,0.030003607521136424,0.06000721504227285
338,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Onafhankelijkheid,0.057607647229607664,0.10153124065024445,0.043923593420636786,0.01954401984400497,0.03908803968800994
345,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Onafhankelijkheid,0.05760764722960769,0.10153124065024445,0.04392359342063676,0.01954401984400497,0.03908803968800994
358,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Onafhankelijkheid,0.05760764722960767,0.10153124065024445,0.04392359342063678,0.01954401984400497,0.03908803968800994
379,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Ordelijkheid,0.3308134761676926,0.22591428179200476,-0.10489919437568782,0.03333107599336204,0.06666215198672408
386,3e44802d-3364-5f3a-af67-a038e335a656,Competitie,Ordelijkheid,0.3688594187969425,0.22591428179200476,-0.14294513700493774,0.03333107599336204,0.06666215198672408
410,bbb0d942-a1c9-5a2d-a36b-2ab007243a1f,Competitie,Originaliteit,0.030086225254837347,-0.05567209061420423,-0.08575831586904158,0.0320267238963363,0.0640534477926726
433,d73cd100-0c15-518b-874f-03a8811ebd04,Competitie,Originaliteit,0.05686005774338849,-0.05567209061420423,-0.11253214835759272,0.0320267238963363,0.0640534477926726
440,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Originaliteit,-0.14526331488193744,-0.05567209061420423,0.08959122426773322,0.0320267238963363,0.0640534477926726
450,de12a2c7-d545-55e2-bd43-69fab0a50149,Competitie,Originaliteit,-0.1325662087980061,-0.05567209061420423,0.07689411818380187,0.0320267238963363,0.0640534477926726
465,709c252c-5841-547c-bc0d-099fa1d0052b,Competitie,Positivisme,-0.00224798642496852,-0.05912434648904555,-0.05687636006407703,0.02631167473539989,0.05262334947079978
474,d73cd100-0c15-518b-874f-03a8811ebd04,Competitie,Positivisme,0.009048350357523507,-0.05912434648904555,-0.06817269684656906,0.02631167473539989,0.05262334947079978
490,230154a9-def4-5404-a86e-ec8626ee4c95,Competitie,Positivisme,-0.11736750637911662,-0.05912434648904555,0.058243159890071075,0.02631167473539989,0.05262334947079978
