,excluded_id,group1,group2,correlation_excluded,correlation_all,correlation_difference,stdev,threshold
4,709c252c-5841-547c-bc0d-099fa1d0052b,Competitie,Conformisme,0.1279726742222479,-0.18502701363167842,-0.3129996878539263,0.13972982253978672,0.27945964507957344
12,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Contactbehoefte,0.15811388300841892,-0.11952286093343936,-0.2776367439418583,0.12657609949598406,0.2531521989919681
27,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Dominantie,0.47434164902525694,0.6187714854940427,0.14442983646878577,0.06970565747542833,0.13941131495085665
36,0b987c95-d61b-5d7f-925c-9c894e0937ce,Competitie,Energie,0.7156562669645132,0.45402980440266305,-0.2616264625618502,0.11307638136666746,0.22615276273333493
50,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Competitie,Hartelijkheid,-0.8049434044064967,-0.5701889063680353,0.23475449803846138,0.09523291130290824,0.1904658226058165
64,709c252c-5841-547c-bc0d-099fa1d0052b,Competitie,Incasseringsvermogen,-0.10660035817780522,-0.3576348756645431,-0.2510345174867379,0.1044796382992338,0.2089592765984676
72,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Nauwkeurigheid,0.20604084592303354,-0.17743840798216653,-0.3834792539052001,0.16006564900671263,0.32013129801342527
92,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Ordelijkheid,0.5075647261379697,0.015721249524260225,-0.4918434766137094,0.19209002173903872,0.38418004347807744
107,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Originaliteit,1.4270889847664465e-17,0.33612278224367753,0.33612278224367753,0.14837197839093139,0.29674395678186277
122,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Regelmaat,-0.6708203932499369,-0.23028309323591917,0.44053730001401775,0.16350936207354716,0.3270187241470943
136,0b987c95-d61b-5d7f-925c-9c894e0937ce,Competitie,Sociaal Ontspannen,0.36563621206356534,-2.4061770862384065e-17,-0.36563621206356534,0.1470917468042414,0.2941834936084828
152,228c72c7-39f3-5090-883c-8e71882f4963,Competitie,Variatiebehoefte,0.712068994916312,0.3756241132126741,-0.33644488170363795,0.14856114249621535,0.2971222849924307
177,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Volharding,-0.3803194146278324,-0.031497039417435604,0.34882237521039683,0.16322933688394325,0.3264586737678865
197,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Competitie,Zelfonthulling,0.46483484010068415,0.656511717428988,0.1916768773283038,0.07952939459867196,0.15905878919734392
200,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Competitie,Zelfontwikkeling,-0.2559453484444958,0.1372215512369386,0.39316689968143437,0.1829541486443435,0.365908297288687
264,709c252c-5841-547c-bc0d-099fa1d0052b,Conformisme,Energie,0.5361424254900898,0.2940272258293994,-0.24211519966069045,0.10661526586257984,0.21323053172515968
274,709c252c-5841-547c-bc0d-099fa1d0052b,Conformisme,Frustratietolerantie,-0.018601633295108055,0.48737732496649416,0.5059789582616022,0.1994119281907258,0.3988238563814516
287,0ac45ebf-abaf-52c1-904e-73f962af3ef0,Conformisme,Hartelijkheid,0.500567859353936,0.369251226929166,-0.13131663242476999,0.05580919064127997,0.11161838128255994
294,709c252c-5841-547c-bc0d-099fa1d0052b,Conformisme,Incasseringsvermogen,0.3944467458277703,0.7746249613929709,0.3801782155652006,0.13000449531787128,0.26000899063574257
306,0b987c95-d61b-5d7f-925c-9c894e0937ce,Conformisme,Nauwkeurigheid,-0.09302605094190634,0.024191188539736574,0.11721723948164292,0.05720572366727816,0.11441144733455633
324,709c252c-5841-547c-bc0d-099fa1d0052b,Conformisme,Ordelijkheid,0.23871592765805769,-0.004524886877828054,-0.24324081453588575,0.10901283487880489,0.21802566975760979
344,709c252c-5841-547c-bc0d-099fa1d0052b,Conformisme,Positivisme,0.5965587590013043,0.7549965058633568,0.15843774686205248,0.06277848751437147,0.12555697502874294
355,04e108ed-dcea-5f17-871c-7e7d9901a5ec,Conformisme,Regelmaat,-0.044280744277004784,0.25565155818784496,0.29993230246484975,0.11135032591155315,0.2227006518231063
364,709c252c-5841-547c-bc0d-099fa1d0052b,Conformisme,Sociaal Ontspannen,0.3500700210070024,-0.09582170752354612,-0.44589172853054854,0.18255910771656642,0.36511821543313283
