,File ID,Competitie,Conformisme,Contactbehoefte,Dominantie,Energie,Frustratietolerantie,Hartelijkheid,Incasseringsvermogen,Nauwkeurigheid,Onafhankelijkheid,Ordelijkheid,Originaliteit,Positivisme,Regelmaat,Sociaal Ontspannen,Status,Variatiebehoefte,Vertrouwen,Volharding,Weloverwogen,Zelfonthulling,Zelfontwikkeling,Zelfvertoon,Zelfvertrouwen,Zorgzaamheid
0,04e108ed-dcea-5f17-871c-7e7d9901a5ec,7,4,5,4,5,6,4,4,6,5,4,7,5,3,4,5,7,8,5,6,5,7,5,4,4
1,061a8da0-102b-58ec-9536-67e4018e4894,6,7,5,6,5,9,6,8,5,7,5,7,7,4,6,7,8,7,5,8,7,8,5,5,5
2,06f319de-6e2d-596f-a545-d3fed5b048f1,5,3,4,5,5,5,5,6,7,7,4,5,4,7,4,5,4,5,5,6,6,7,5,5,7
3,0ac45ebf-abaf-52c1-904e-73f962af3ef0,9,7,4,6,7,3,3,5,6,7,7,8,7,4,3,6,8,5,8,2,9,8,4,7,6
4,0b8c4ad8-0c0a-58a8-9c41-6afa58400dc3,7,6,3,5,3,6,2,4,5,6,3,8,3,6,1,7,5,7,4,6,3,6,3,2,4
5,0b987c95-d61b-5d7f-925c-9c894e0937ce,3,7,6,3,7,8,7,6,8,6,5,6,8,7,6,4,6,8,8,7,6,7,4,6,5
6,10aff0a6-3e67-53d9-9ac4-3224643e0d22,5,6,6,4,5,5,5,4,5,5,7,6,5,6,5,6,6,6,5,6,7,7,3,5,6
7,1d86b3eb-82cf-5248-9a19-5472e1913b44,6,6,6,3,3,6,5,5,7,4,7,4,5,7,4,4,5,7,4,6,4,6,5,4,5
8,228c72c7-39f3-5090-883c-8e71882f4963,9,6,3,5,5,6,3,5,2,7,2,5,5,8,3,7,3,7,5,6,6,5,5,7,4
9,230154a9-def4-5404-a86e-ec8626ee4c95,2,5,4,5,2,5,4,6,3,6,3,6,4,7,4,3,3,4,3,6,7,4,6,5,7
10,24e2d531-6fab-5f5b-9282-a488302c6547,5,2,6,6,4,3,3,2,5,8,5,5,3,5,5,5,5,3,4,7,6,4,6,4,7
11,283ab77f-98df-5946-aacd-c3bf20cc1bc4,4,9,3,2,1,7,2,5,7,5,3,5,6,7,1,3,3,6,5,9,6,6,1,4,5
12,34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,3,5,4,3,1,5,3,4,5,4,4,5,4,6,3,4,3,4,4,6,4,3,3,2,5
13,376aa464-a5f7-5aed-acd9-7dceb37ded9d,8,8,6,9,7,8,7,10,9,6,7,6,7,5,7,8,6,4,8,10,6,8,7,7,7
14,3e44802d-3364-5f3a-af67-a038e335a656,9,2,5,4,2,3,2,3,5,7,1,5,4,7,3,7,4,5,3,6,5,6,5,2,4
15,54607c72-f7f0-5106-874f-ff352975ea48,6,7,6,3,4,3,6,3,6,3,7,3,5,6,4,6,3,6,7,6,5,6,5,1,7
16,5c0747ca-674f-5dcd-aa3d-0dda5a77c658,5,6,8,7,7,7,7,6,7,4,6,7,7,6,8,8,8,9,5,5,6,6,6,6,5
