Correlation,Subkenmerk 1,Subkenmerk 2,Hoofdkenmerk 1,Hoofdkenmerk 2
0.03673342959626049,Competitie,Conformisme,Invloed,Structuur
0.07469833502272412,Competitie,Contactbehoefte,Invloed,Sociabiliteit
0.16214960394614378,Competitie,Dominantie,Invloed,Invloed
0.4100674603280058,Competitie,Energie,Invloed,Gedrevenheid
-0.11777083023253666,Competitie,Frustratietolerantie,Invloed,Stabiliteit
0.11898239074910538,Competitie,Hartelijkheid,Invloed,Sociabiliteit
-0.14826372359026638,Competitie,Incasseringsvermogen,Invloed,Stabiliteit
0.32965257398395664,Competitie,Nauwkeurigheid,Invloed,Structuur
0.10153124065024445,Competitie,Onafhankelijkheid,Invloed,Gedrevenheid
0.22591428179200476,Competitie,Ordelijkheid,Invloed,Structuur
-0.05567209061420423,Competitie,Originaliteit,Invloed,Gedrevenheid
-0.05912434648904555,Competitie,Positivisme,Invloed,Stabiliteit
-0.1114090917786752,Competitie,Regelmaat,Invloed,Structuur
0.1673857958258171,Competitie,Sociaal Ontspannen,Invloed,Sociabiliteit
0.6045475784483115,Competitie,Status,Invloed,Invloed
0.22662729312530727,Competitie,Variatiebehoefte,Invloed,Gedrevenheid
-0.23324640851249565,Competitie,Vertrouwen,Invloed,Sociabiliteit
0.16459095024343295,Competitie,Volharding,Invloed,Gedrevenheid
-0.048517938662540686,Competitie,Weloverwogen,Invloed,Structuur
0.08147959246446464,Competitie,Zelfonthulling,Invloed,Sociabiliteit
0.26506387985668817,Competitie,Zelfontwikkeling,Invloed,Gedrevenheid
0.37816363623194926,Competitie,Zelfvertoon,Invloed,Invloed
0.18776058598664927,Competitie,Zelfvertrouwen,Invloed,Stabiliteit
-0.13555647397731213,Competitie,Zorgzaamheid,Invloed,Sociabiliteit
0.2359730124054919,Conformisme,Contactbehoefte,Structuur,Sociabiliteit
0.06963598197720554,Conformisme,Dominantie,Structuur,Invloed
0.338839699261965,Conformisme,Energie,Structuur,Gedrevenheid
0.5272251786902841,Conformisme,Frustratietolerantie,Structuur,Stabiliteit
0.49250886514610875,Conformisme,Hartelijkheid,Structuur,Sociabiliteit
0.5290912966075926,Conformisme,Incasseringsvermogen,Structuur,Stabiliteit
0.3135046795746478,Conformisme,Nauwkeurigheid,Structuur,Structuur
-0.4092825898275102,Conformisme,Onafhankelijkheid,Structuur,Gedrevenheid
0.2776798798480175,Conformisme,Ordelijkheid,Structuur,Structuur
-0.008620628472721771,Conformisme,Originaliteit,Structuur,Gedrevenheid
0.6439607710518048,Conformisme,Positivisme,Structuur,Stabiliteit
0.033261426956188084,Conformisme,Regelmaat,Structuur,Structuur
0.10265775408181732,Conformisme,Sociaal Ontspannen,Structuur,Sociabiliteit
0.12442000983008521,Conformisme,Status,Structuur,Invloed
0.33288489180748404,Conformisme,Variatiebehoefte,Structuur,Gedrevenheid
0.4302692764636544,Conformisme,Vertrouwen,Structuur,Sociabiliteit
0.5756763982950012,Conformisme,Volharding,Structuur,Gedrevenheid
0.19868649442730194,Conformisme,Weloverwogen,Structuur,Structuur
0.2510343438454071,Conformisme,Zelfonthulling,Structuur,Sociabiliteit
0.5241418147958767,Conformisme,Zelfontwikkeling,Structuur,Gedrevenheid
-0.025875129050105108,Conformisme,Zelfvertoon,Structuur,Invloed
0.3056657861449404,Conformisme,Zelfvertrouwen,Structuur,Stabiliteit
0.4093136926167893,Conformisme,Zorgzaamheid,Structuur,Sociabiliteit
0.4271295446344307,Contactbehoefte,Dominantie,Sociabiliteit,Invloed
0.6539776796466372,Contactbehoefte,Energie,Sociabiliteit,Gedrevenheid
0.21882868764008656,Contactbehoefte,Frustratietolerantie,Sociabiliteit,Stabiliteit
0.7591817840832288,Contactbehoefte,Hartelijkheid,Sociabiliteit,Sociabiliteit
0.22351852536281536,Contactbehoefte,Incasseringsvermogen,Sociabiliteit,Stabiliteit
0.30722677820843325,Contactbehoefte,Nauwkeurigheid,Sociabiliteit,Structuur
-0.3453292344794593,Contactbehoefte,Onafhankelijkheid,Sociabiliteit,Gedrevenheid
0.3965683659388797,Contactbehoefte,Ordelijkheid,Sociabiliteit,Structuur
-0.008650713683488256,Contactbehoefte,Originaliteit,Sociabiliteit,Gedrevenheid
0.2829081978298911,Contactbehoefte,Positivisme,Sociabiliteit,Stabiliteit
-0.20638368320119027,Contactbehoefte,Regelmaat,Sociabiliteit,Structuur
0.7453620764923268,Contactbehoefte,Sociaal Ontspannen,Sociabiliteit,Sociabiliteit
0.320639082431113,Contactbehoefte,Status,Sociabiliteit,Invloed
0.6505181082017715,Contactbehoefte,Variatiebehoefte,Sociabiliteit,Gedrevenheid
0.31921334978724664,Contactbehoefte,Vertrouwen,Sociabiliteit,Sociabiliteit
0.37395227950681564,Contactbehoefte,Volharding,Sociabiliteit,Gedrevenheid
0.1381012147257479,Contactbehoefte,Weloverwogen,Sociabiliteit,Structuur
0.36901616333821846,Contactbehoefte,Zelfonthulling,Sociabiliteit,Sociabiliteit
0.2950991423989231,Contactbehoefte,Zelfontwikkeling,Sociabiliteit,Gedrevenheid
0.5725044834259385,Contactbehoefte,Zelfvertoon,Sociabiliteit,Invloed
0.27962901084382397,Contactbehoefte,Zelfvertrouwen,Sociabiliteit,Stabiliteit
0.44424433909836036,Contactbehoefte,Zorgzaamheid,Sociabiliteit,Sociabiliteit
0.47962664256769355,Dominantie,Energie,Invloed,Gedrevenheid
0.11634537766774095,Dominantie,Frustratietolerantie,Invloed,Stabiliteit
0.39705829541791404,Dominantie,Hartelijkheid,Invloed,Sociabiliteit
0.4403381515456422,Dominantie,Incasseringsvermogen,Invloed,Stabiliteit
-0.015595396148883346,Dominantie,Nauwkeurigheid,Invloed,Structuur
0.1757070961614797,Dominantie,Onafhankelijkheid,Invloed,Gedrevenheid
0.060601622491466375,Dominantie,Ordelijkheid,Invloed,Structuur
0.35211944209758955,Dominantie,Originaliteit,Invloed,Gedrevenheid
0.24322546853455476,Dominantie,Positivisme,Invloed,Stabiliteit
-0.14096408141953234,Dominantie,Regelmaat,Invloed,Structuur
0.48447261930664737,Dominantie,Sociaal Ontspannen,Invloed,Sociabiliteit
0.2691951314268458,Dominantie,Status,Invloed,Invloed
0.48218543773483824,Dominantie,Variatiebehoefte,Invloed,Gedrevenheid
0.13906629115787075,Dominantie,Vertrouwen,Invloed,Sociabiliteit
0.280386320663985,Dominantie,Volharding,Invloed,Gedrevenheid
-0.02464879192822544,Dominantie,Weloverwogen,Invloed,Structuur
0.32287311646462236,Dominantie,Zelfonthulling,Invloed,Sociabiliteit
0.14054663299828846,Dominantie,Zelfontwikkeling,Invloed,Gedrevenheid
0.6516077276073802,Dominantie,Zelfvertoon,Invloed,Invloed
0.5755837226810923,Dominantie,Zelfvertrouwen,Invloed,Stabiliteit
0.3588141148508826,Dominantie,Zorgzaamheid,Invloed,Sociabiliteit
0.3422281673329705,Energie,Frustratietolerantie,Gedrevenheid,Stabiliteit
0.730741724046668,Energie,Hartelijkheid,Gedrevenheid,Sociabiliteit
0.36071845753894993,Energie,Incasseringsvermogen,Gedrevenheid,Stabiliteit
0.45893457779850627,Energie,Nauwkeurigheid,Gedrevenheid,Structuur
-0.08867943789440008,Energie,Onafhankelijkheid,Gedrevenheid,Gedrevenheid
0.5750991487116298,Energie,Ordelijkheid,Gedrevenheid,Structuur
0.25459044146597865,Energie,Originaliteit,Gedrevenheid,Gedrevenheid
0.41664491085821226,Energie,Positivisme,Gedrevenheid,Stabiliteit
-0.25938322233960337,Energie,Regelmaat,Gedrevenheid,Structuur
0.7012179164478537,Energie,Sociaal Ontspannen,Gedrevenheid,Sociabiliteit
0.3839133096278333,Energie,Status,Gedrevenheid,Invloed
0.7605683879862168,Energie,Variatiebehoefte,Gedrevenheid,Gedrevenheid
0.20897504507019168,Energie,Vertrouwen,Gedrevenheid,Sociabiliteit
0.7124605390534389,Energie,Volharding,Gedrevenheid,Gedrevenheid
0.13379251490056246,Energie,Weloverwogen,Gedrevenheid,Structuur
0.34678827795403727,Energie,Zelfonthulling,Gedrevenheid,Sociabiliteit
0.6081665397987336,Energie,Zelfontwikkeling,Gedrevenheid,Gedrevenheid
0.47236182099616664,Energie,Zelfvertoon,Gedrevenheid,Invloed
0.5636607227654995,Energie,Zelfvertrouwen,Gedrevenheid,Stabiliteit
0.3998649044342359,Energie,Zorgzaamheid,Gedrevenheid,Sociabiliteit
0.5082570350440396,Frustratietolerantie,Hartelijkheid,Stabiliteit,Sociabiliteit
0.5927224711041212,Frustratietolerantie,Incasseringsvermogen,Stabiliteit,Stabiliteit
0.22390939871261253,Frustratietolerantie,Nauwkeurigheid,Stabiliteit,Structuur
-0.04577444225757381,Frustratietolerantie,Onafhankelijkheid,Stabiliteit,Gedrevenheid
0.18980084201915767,Frustratietolerantie,Ordelijkheid,Stabiliteit,Structuur
0.29028779077084554,Frustratietolerantie,Originaliteit,Stabiliteit,Gedrevenheid
0.6544278721416428,Frustratietolerantie,Positivisme,Stabiliteit,Stabiliteit
-0.05416530636527992,Frustratietolerantie,Regelmaat,Stabiliteit,Structuur
0.24868609679401407,Frustratietolerantie,Sociaal Ontspannen,Stabiliteit,Sociabiliteit
0.07146405605211963,Frustratietolerantie,Status,Stabiliteit,Invloed
